ID,Time1ID,Time2ID,GolsTime1,GolsTime2
0,5,7,4,1
1,9,1,2,5
2,6,0,0,2
3,7,9,0,0
4,0,6,5,5
5,5,8,5,2
6,0,7,4,0
7,3,5,4,2
8,1,9,2,0
9,5,6,5,5
10,1,0,0,1
11,1,3,4,0
12,5,4,3,2
13,6,7,3,5
14,0,4,1,1
15,4,0,0,1
16,7,2,2,5
17,4,8,5,5
18,6,3,4,5
19,2,9,0,5
20,6,4,2,1
21,2,7,2,2
22,5,9,0,1
23,3,2,0,4
24,3,6,4,1
25,9,6,5,2
26,2,5,0,0
27,8,2,3,4
28,8,6,2,4
29,4,1,0,3
30,2,0,1,5
31,6,5,5,3
32,0,2,0,5
33,2,4,1,2
34,0,5,5,0
35,8,1,1,5
36,1,7,3,1
37,9,8,4,0
38,4,5,1,2
39,6,2,0,1
40,3,1,0,3
41,2,6,3,0
42,9,4,1,3
43,6,8,3,1
44,9,3,2,3
45,9,2,2,0
46,5,0,4,5
47,1,4,4,1
48,4,9,5,0
49,8,0,1,5
50,5,3,1,3
51,3,8,0,5
52,1,5,5,5
53,3,0,3,4
54,9,7,4,1
55,6,1,3,2
56,3,7,5,0
57,7,0,1,5
58,7,3,4,3
59,3,9,1,2
60,7,5,2,1
61,4,7,5,2
62,9,5,0,5
63,1,8,3,4
64,0,9,0,0
65,8,3,0,3
66,8,7,0,5
67,1,2,1,4
68,7,8,3,0
69,0,8,4,3
70,3,4,2,5
71,4,3,5,2
72,5,1,1,4
73,1,6,5,4
74,0,3,2,1
75,6,9,2,1
76,4,6,2,1
77,8,4,3,4
78,0,1,5,0
79,7,4,4,3
80,7,6,1,4
81,2,3,2,1
82,5,2,5,1
83,2,1,3,2
84,2,8,4,2
85,8,5,3,4
86,7,1,4,4
87,9,0,5,4
88,4,2,2,3
89,8,9,5,0
