ID,Time1ID,Time2ID,GolsTime1,GolsTime2
0,5,7,4,1
1,9,1,2,5
2,6,0,0,2
3,7,9,0,0
4,0,6,5,5
5,5,8,5,2
6,0,7,4,0
7,3,5,4,2
8,1,9,2,0
9,5,6,5,5
10,1,0,0,1
11,1,3,4,0
12,5,4,3,2
13,6,7,3,5
14,0,4,1,1
15,4,0,0,1
16,7,2,2,5
17,4,8,5,5
18,6,3,4,5
19,2,9,0,5
20,6,4,2,1
21,2,7,2,2
22,5,9,0,1
23,3,2,0,4
24,3,6,4,1
25,9,6,5,2
26,2,5,0,0
27,8,2,3,4
28,8,6,2,4
29,4,1,0,3
30,2,0,1,5
31,6,5,5,3
32,0,2,0,5
33,2,4,1,2
34,0,5,5,0
35,8,1,1,5
36,1,7,3,1
37,9,8,4,0
38,4,5,1,2
39,6,2,0,1
40,3,1,0,3
41,2,6,3,0
42,9,4,1,3
43,6,8,3,1
44,9,3,2,3
